song_id,song_name,popularity,danceability,energy,valence,acousticness,speechiness,artists,is_billboard
2QZ7WLBE8h2y1Y5Fb8RYbH,In My Blood,81,0.622,0.712,0.487,0.0573,0.066,Shawn Mendes,True
70khXICDeTTxgYtw3EysKH,sweetener,71,0.721,0.459,0.46,0.248,0.032,Ariana Grande,True
0WdR2AyLW1Drd3OUdwezM0,everytime,70,0.71,0.614,0.658,0.186,0.0431,Ariana Grande,True
1xWH8zYtDeS9mW1JJG23VZ,R.E.M,70,0.831,0.485,0.622,0.375,0.15,Ariana Grande,True
1mJMD1VIQ7jWTP9DK2zmY0,Kiss Somebody,59,0.492,0.681,0.511,0.143,0.075,Morgan Evans,False
14kYOiFVPb7E7NfFbqhdln,goodnight n go,70,0.708,0.454,0.24,0.0217,0.0395,Ariana Grande,True
003eoIwxETJujVWmNFMoZy,Growing Pains,59,0.353,0.755,0.437,0.0822,0.733,Alessia Cara,False
0XOnMqLQDO89iAg7dWWwnG,pete davidson,67,0.652,0.31,0.304,0.43,0.0509,Ariana Grande,True
1e4rwBPVI32vZtTJu7mJ4J,Chun-Li,71,0.69,0.729,0.478,0.276,0.372,Nicki Minaj,True
2Yl4OmDby9iitgNWZPwxkd,Be Careful,71,0.82,0.568,0.535,0.0256,0.411,Cardi B,True
1xYpVRspgaLxdJLOTQkTjg,STOP TRYING TO BE GOD,69,0.588,0.567,0.113,0.221,0.0628,Travis Scott,True
27a1mYSG5tYg7dmEjWBcmL,CAN'T SAY,74,0.702,0.708,0.713,0.201,0.0547,Travis Scott,True
20MuVazoNMv6xjKPnRFOxG,WAKE UP,76,0.741,0.645,0.488,0.192,0.0963,Travis Scott,True
4SZepBIPDRwPaHIjAKwRDb,R.I.P. SCREW,68,0.607,0.609,0.556,0.389,0.291,Travis Scott,True
6OaVWaGfhXn70ZJfdVcabn,NO BYSTANDERS,70,0.731,0.811,0.426,0.0204,0.0712,Travis Scott,True
7KZ5MMVgBVox9ycroB2UrI,CAROUSEL,67,0.428,0.403,0.133,0.229,0.209,Travis Scott,True
6rDaCGqcQB1urhpCrrD599,Album of the Year - Freestyle,62,0.705,0.816,0.929,0.0805,0.32,J. Cole,False
11kDth1aKUEUMq9r1pqyds,5% TINT,68,0.712,0.481,0.062,0.173,0.0487,Travis Scott,True
7BXW1QCg56yzEBV8pW8pah,Have It All,66,0.643,0.638,0.6,0.204,0.0407,Jason Mraz,True
63SevszngYpZOwf63o61K4,Nevermind,79,0.592,0.691,0.0796,0.156,0.196,Dennis Lloyd,False
6BJbOXDlgVAXSaq6wYFYT2,NC-17,66,0.804,0.763,0.0585,0.0678,0.0519,Travis Scott,True
4KYS9GK68yeuUJ8vJfPxrq,WHO? WHAT!,66,0.834,0.731,0.681,0.0462,0.0566,Travis Scott,True
6NMtzpDQBTOfJwMzgMX0zl,SKELETONS,67,0.46,0.686,0.252,0.00146,0.0367,Travis Scott,True
4MXhiYIRDMGAuvZc5IFTwC,ASTROTHUNDER,69,0.7,0.46,0.286,0.142,0.0661,Travis Scott,True
2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,78,0.763,0.628,0.193,0.0531,0.05,Travis Scott,True
58TaFP5j5i9swOf584yon2,HOUSTONFORNICATION,69,0.689,0.723,0.288,0.0985,0.0836,Travis Scott,True
6vnfObZ4Ys70SBAtti1xZ9,COFFEE BEAN,66,0.81,0.582,0.503,0.0862,0.125,Travis Scott,True
3dlCF1mzW1UKMOb4b1XN17,I Was Jack (You Were Diane),68,0.612,0.878,0.599,0.0875,0.0452,Jake Owen,False
6Qn5zhYkTa37e91HC1D7lb,Whatever It Takes,80,0.672,0.655,0.556,0.0362,0.0311,Imagine Dragons,True
0STK94RxUulYqWzwFlyAb5,Sober,74,0.397,0.303,0.17,0.798,0.11,Demi Lovato,False
4BdGO1CaObRD4La9l5Zanz,Sit Next to Me,72,0.638,0.738,0.657,0.117,0.0292,Foster The People,True
4gB7HrYHbJVJ5RFOjxmoq4,One Number Away,74,0.544,0.781,0.527,0.00585,0.0311,Luke Combs,True
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,80,0.461,0.593,0.175,0.17,0.0356,The Weeknd,True
